,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
0,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
1,Mivi,"Black, True Wireless","('50H', 'H')",₹899,"₹3,999",4,"(37,964)",77% off
2,truke,"Black, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
3,CMF,"Dark Grey, True Wireless",,"₹2,299","₹2,999",4.3,"(43,001)",23% off
4,boAt,"Mocha Elegance, True Wireless","('100 HRS', 'HRS')","₹1,399","₹4,990",4,"(40,534)",71% off
5,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,199","₹2,999",4.1,"(1,29,032)",60% off
6,realme,"Arctic White, True Wireless",,"₹2,299","₹5,999",4.3,"(39,918)",61% off
7,moto,"Kiwi Green, True Wireless","('42 h', 'h')","₹1,999","₹7,999",4.1,"(7,038)",75% off
8,Nu,"Blue, True Wireless","('48 hrs', 'hrs')",₹699,"₹3,499",4.1,(476),80% off
9,OnePlus,"Starry Black, True Wireless",,"₹2,999","₹3,699",4.4,"(18,257)",18% off
10,PTron,"Blue, True Wireless","('50hrs', 'hrs')",₹699,"₹3,799",4.1,(194),81% off
11,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
12,boAt,"Pebble Black, True Wireless","('40 HRS', 'HRS')","₹1,099","₹2,490",4,"(12,48,011)",55% off
13,realme,"Country Green, True Wireless","('38 h', 'h')","₹1,499","₹2,999",4.2,"(3,59,878)",50% off
14,Portronics,"Black, True Wireless","('20 H', 'H')",₹692,"₹1,999",4,"(7,568)",65% off
15,Noise,"Jet Black, True Wireless","('50 H', 'H')","₹1,199","₹2,999",4,"(5,95,118)",60% off
16,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
17,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(57,708)",80% off
18,boAt,"Olive Green, True Wireless","('40 Hours', 'Hours')","₹1,099","₹2,490",4,"(12,48,011)",55% off
19,CMF,"Orange, True Wireless",,"₹2,299","₹2,999",4.3,"(43,001)",23% off
20,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
21,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
22,HOPPUP,"Black, True Wireless","('50H', 'H')",₹699,"₹4,999",4.1,"(28,259)",86% off
23,boAt,"Pearl White, True Wireless","('40 HRS', 'HRS')","₹1,099","₹2,490",4,"(12,48,011)",55% off
24,boAt,"Frosted Mint, True Wireless","('100 HRS', 'HRS')","₹1,399","₹4,990",4,"(40,534)",71% off
25,truke,"Sunset Orange, True Wireless","('60H', 'H')",₹999,"₹3,499",4.1,"(2,972)",71% off
26,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
27,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
28,HOPPUP,"Black, Grey, True Wireless",,₹899,"₹5,999",4,"(1,210)",85% off
29,boAt,"Cool Sapphire, True Wireless","('40 HRS', 'HRS')","₹1,099","₹2,490",4,"(12,48,011)",55% off
30,truke,"Blue, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
31,truke,"MintMist, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(17,106)",70% off
32,OPPO,"Midnight, True Wireless","('28 hours', 'hours')","₹1,599","₹3,999",4.3,"(4,16,231)",60% off
33,Seashot,"Multicolor, True Wireless",,₹470,"₹2,899",4.2,(19),83% off
34,OnePlus,"Misty Grey, True Wireless",,"₹1,799","₹2,299",4.4,"(1,87,898)",21% off
35,Noise,"Jet Black, True Wireless","('45 H', 'H')",₹999,"₹2,499",4.1,"(32,250)",60% off
36,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
37,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
38,Noise,"Forest Green, True Wireless","('50H', 'H')",₹999,"₹3,499",4,"(5,95,118)",71% off
39,boAt,"Slate Blue, True Wireless",,"₹1,199","₹5,490",4,"(1,37,232)",78% off
40,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
41,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,199","₹2,999",4.1,"(1,29,032)",60% off
42,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
43,Boult,"White, True Wireless","('50H', 'H')","₹1,099","₹5,499",4.1,"(4,62,019)",80% off
44,Noise,"Midnight Blue, True Wireless","('50 H', 'H')","₹1,199","₹2,999",4,"(5,95,118)",60% off
